status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,errinros_mod,LBFGSSolver,100,0.428912617,8.735792,72,112,1.4137e-5,0.000592,3,72,7.7699e-5,0.00152,5,false
first_order,extrosnb,LBFGSSolver,100,0.814548162,68.21548,308,1154,0.120366756,8.88784,173396,310,0.189500508,13.578616,268776,true
first_order,extrosnb,LBFGSSolver,100,0.501642809,39.751504,308,1154,7.184e-6,0.000592,3,310,2.0168e-5,0.00152,5,false
first_order,fletcbv2,LBFGSSolver,100,0.7967648270000001,38.997632,5,7,0.100874747,13.321576,259375,7,0.286633707,19.242312,383153,true
first_order,fletcbv2,LBFGSSolver,100,0.333920871,2.532032,5,7,4.789e-6,0.000592,3,7,4.5978e-5,0.00152,5,false
first_order,fletcbv3_mod,LBFGSSolver,100,0.930365083,38.592672,65,225,0.116635407,15.816584,309595,65,0.287887358,19.306856,383804,true
first_order,fletcbv3_mod,LBFGSSolver,100,0.380296629,1.54232,65,225,1.2414e-5,0.000592,3,65,0.000137524,0.00152,5,false
first_order,fletchcr,LBFGSSolver,100,0.65366826,35.081688,78,100,0.046318377,4.528088,88933,78,0.204096418,13.683112,270151,true
first_order,fletchcr,LBFGSSolver,100,0.307377022,7.568608,78,100,4.709e-6,0.000592,3,78,2.1391e-5,0.00152,5,false
first_order,fminsrf2,LBFGSSolver,100,1.152125248,41.054608,46,191,0.091514135,10.842832,213790,46,0.291330445,19.204728,381919,true
first_order,fminsrf2,LBFGSSolver,100,0.599615037,3.524512,46,191,5.29e-6,0.000592,3,46,5.19e-5,0.00152,5,false
first_order,freuroth,LBFGSSolver,100,0.811678047,39.910296,17,49,0.068963437,9.397016,185176,17,0.285748151,18.954432,376416,true
first_order,freuroth,LBFGSSolver,100,0.324010757,0.529792,17,49,8.065e-6,0.000592,3,17,8.6536e-5,0.00152,5,false
first_order,gauss1,LBFGSSolver,8,1.0268670930000001,32.56876,10,12,0.044783918,6.179592,123421,12,0.276877328,18.134824,365570,true
first_order,gauss1,LBFGSSolver,8,0.624355529,0.228144,10,12,1.3335e-5,0.000592,3,12,2.636e-5,0.00072,5,false
first_order,gauss2,LBFGSSolver,8,1.064149872,32.619064,12,14,0.037832071,6.18644,123424,14,0.237113216,15.515472,312199,true
first_order,gauss2,LBFGSSolver,8,0.5774074650000001,0.279056,12,14,1.5519e-5,0.000592,3,14,2.7182e-5,0.00072,5,false
first_order,gauss3,LBFGSSolver,8,0.972028635,32.81496,15,17,0.049324737,6.181232,123424,17,0.250149007,15.523016,312204,true
first_order,gauss3,LBFGSSolver,8,0.5632093469999999,0.431024,15,17,1.4949e-5,0.000592,3,17,3.098e-5,0.00072,5,false
first_order,genbroydenb,LBFGSSolver,100,0.857385474,36.356616,12,14,0.025870828,0.880376,17203,14,0.252860161,12.89564,255789,true
first_order,genbroydenb,LBFGSSolver,100,0.372577943,0.951552,12,14,1.1883e-5,0.000592,3,14,0.000192138,0.00152,5,false
first_order,genbroydentri,LBFGSSolver,100,0.950009645,56.975992,11,13,0.041822526,0.997344,19728,13,0.265459727,13.718392,273834,true
first_order,genbroydentri,LBFGSSolver,100,0.341988485,19.466768,11,13,3.109e-5,0.003888,208,13,0.00018279,0.208448,1859,false
first_order,genhumps,LBFGSSolver,100,3.250978561,166.00732,3085,9935,0.048158503,6.35104,125795,3075,0.250470293,14.858448,295382,true
first_order,genhumps,LBFGSSolver,100,2.727263389,133.40792,3085,9935,8.165e-6,0.000592,3,3075,8.6936e-5,0.00152,5,false
first_order,genrose,LBFGSSolver,100,0.871059539,37.747408,61,160,0.069310522,16.259696,315484,61,0.273712597,18.803808,369818,true
first_order,genrose,LBFGSSolver,100,0.448830223,5.398272,61,160,4.118e-6,0.000592,3,61,2.9987e-5,0.00152,5,false
first_order,genrose_nash,LBFGSSolver,100,0.762040272,39.199208,67,196,0.094870044,16.241864,315067,67,0.342309812,18.821,371247,true
first_order,genrose_nash,LBFGSSolver,100,0.34597774800000003,5.777776,67,196,3.787e-6,0.000592,3,67,3.1079e-5,0.00152,5,false
first_order,hahn1,LBFGSSolver,7,2.9789386429999998,31.305792,33,79,0.072531582,7.028976,140087,31,0.261756012,20.422144,411712,true
first_order,hahn1,LBFGSSolver,7,2.590288681,0.437712,33,79,0.000116092,0.000592,3,31,0.000119649,0.000704,5,false
first_order,indef_mod,LBFGSSolver,100,0.8943733119999999,41.489768,204,246,0.096838384,11.914456,230148,204,0.292983402,18.310064,364109,true
first_order,indef_mod,LBFGSSolver,100,0.400152847,6.32848,204,246,3.817e-6,0.000592,3,204,6.8772e-5,0.00152,5,false
first_order,integreq,LBFGSSolver,100,1.059885809,43.762872,4,6,0.185677496,22.291008,441585,6,0.375156363,26.535776,526539,true
first_order,integreq,LBFGSSolver,100,0.46022708599999995,0.139072,4,6,0.000425294,0.000592,3,6,0.005818977,0.00152,5,false
first_order,kirby2,LBFGSSolver,5,1.599472105,27.679904,19,23,0.054431039,6.189752,123195,21,0.237823337,18.86048,380537,true
