status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,arglinb,LBFGSSolver,80,100,246422.0,297328.0,2,772240,110320
first_order,arglinb,LBFGSSolver,81,100,247643.0,300784.0,2,772240,110320
first_order,arglinb,LBFGSSolver,82,100,246301.0,304496.0,2,777504,111072
first_order,arglinb,LBFGSSolver,83,100,246061.0,307952.0,2,777504,111072
first_order,arglinb,LBFGSSolver,84,100,246040.0,311536.0,2,772240,110320
first_order,arglinb,LBFGSSolver,85,100,246992.0,314992.0,2,772240,110320
first_order,arglinb,LBFGSSolver,86,100,246992.0,318448.0,2,767004,109572
first_order,arglinb,LBFGSSolver,87,100,247282.0,321904.0,2,772240,110320
first_order,arglinb,LBFGSSolver,88,100,247643.0,325360.0,2,767004,109572
first_order,arglinb,LBFGSSolver,89,100,247603.0,328816.0,2,767004,109572
first_order,arglinb,LBFGSSolver,90,100,248275.0,332592.0,2,767004,109572
first_order,arglinb,LBFGSSolver,91,100,248355.0,336048.0,2,767004,109572
first_order,arglinb,LBFGSSolver,92,100,249728.0,339648.0,2,767004,109572
first_order,arglinb,LBFGSSolver,93,100,249918.0,343104.0,2,767004,109572
first_order,arglinb,LBFGSSolver,94,100,249917.0,346560.0,2,761796,108828
first_order,arglinb,LBFGSSolver,95,100,249026.0,350016.0,2,761796,108828
first_order,arglinb,LBFGSSolver,96,100,251020.0,353472.0,2,761796,108828
first_order,arglinb,LBFGSSolver,97,100,250449.0,356928.0,2,761796,108828
first_order,arglinb,LBFGSSolver,98,100,251621.0,360384.0,2,761796,108828
first_order,arglinb,LBFGSSolver,99,100,252022.0,363840.0,2,761796,108828
first_order,arglinb,LBFGSSolver,100,100,252022.0,367616.0,2,756616,108088
first_order,arglinc,LBFGSSolver,1,100,212656.0,20424.0,2,859824,122832
first_order,arglinc,LBFGSSolver,2,100,213268.0,23968.0,2,848484,121212
first_order,arglinc,LBFGSSolver,3,100,213257.0,27440.0,2,842856,120408
first_order,arglinc,LBFGSSolver,4,100,214550.0,30976.0,2,837256,119608
first_order,arglinc,LBFGSSolver,5,100,214420.0,34448.0,2,837256,119608
first_order,arglinc,LBFGSSolver,6,100,214840.0,37984.0,2,831684,118812
first_order,arglinc,LBFGSSolver,7,100,215582.0,41456.0,2,837256,119608
first_order,arglinc,LBFGSSolver,8,100,216554.0,44992.0,2,831684,118812
first_order,arglinc,LBFGSSolver,9,100,215772.0,48464.0,2,831684,118812
first_order,arglinc,LBFGSSolver,10,100,215962.0,52000.0,2,831684,118812
first_order,arglinc,LBFGSSolver,11,100,216253.0,55472.0,2,826140,118020
first_order,arglinc,LBFGSSolver,12,100,216754.0,59008.0,2,820624,117232
first_order,arglinc,LBFGSSolver,13,100,217335.0,62480.0,2,826140,118020
first_order,arglinc,LBFGSSolver,14,100,217676.0,66016.0,2,820624,117232
first_order,arglinc,LBFGSSolver,15,100,217867.0,69488.0,2,820624,117232
first_order,arglinc,LBFGSSolver,16,100,218368.0,73024.0,2,820624,117232
first_order,arglinc,LBFGSSolver,17,100,218868.0,76496.0,2,820624,117232
first_order,arglinc,LBFGSSolver,18,100,219239.0,80048.0,2,820624,117232
first_order,arglinc,LBFGSSolver,19,100,219610.0,83504.0,2,820624,117232
first_order,arglinc,LBFGSSolver,20,100,219760.0,87056.0,2,815136,116448
first_order,arglinc,LBFGSSolver,21,100,220311.0,90512.0,2,815136,116448
first_order,arglinc,LBFGSSolver,22,100,220341.0,94064.0,2,815136,116448
first_order,arglinc,LBFGSSolver,23,100,220992.0,97520.0,2,815136,116448
first_order,arglinc,LBFGSSolver,24,100,221384.0,101088.0,2,815136,116448
first_order,arglinc,LBFGSSolver,25,100,221684.0,104544.0,2,809676,115668
